"No.","Time","Source","Destination","Protocol","Length","Info"
"7","2.877811634","192.168.1.12","146.190.62.39","HTTP","565","GET / HTTP/1.1 "
"10","3.143292423","146.190.62.39","192.168.1.12","HTTP","815","HTTP/1.1 304 Not Modified "
"73","14.454581809","192.168.1.12","185.125.190.18","HTTP","154","GET / HTTP/1.1 "
"74","14.525097512","185.125.190.18","192.168.1.12","HTTP","255","HTTP/1.1 204 No Content "
"83","16.312324063","192.168.1.12","146.190.62.39","HTTP","565","GET / HTTP/1.1 "
"88","16.528811964","146.190.62.39","192.168.1.12","HTTP","815","HTTP/1.1 304 Not Modified "
"255","20.582181817","192.168.1.12","93.184.215.14","HTTP","443","GET / HTTP/1.1 "
"257","20.755626421","93.184.215.14","192.168.1.12","HTTP","1073","HTTP/1.1 200 OK  (text/html)"
"274","20.828621480","192.168.1.12","93.184.215.14","HTTP","411","GET /favicon.ico HTTP/1.1 "
"294","20.982447669","93.184.215.14","192.168.1.12","HTTP","1091","HTTP/1.1 404 Not Found  (text/html)"
