"No.","Time","Source","Destination","Protocol","Length","Info"
"31","17.511753952","192.168.1.12","8.8.8.8","DNS","126","Standard query 0xd9bc A cdnjs.cloudflare.com"
"32","17.589672161","8.8.8.8","192.168.1.12","TCP","74","53  >  39958 [SYN, ACK] Seq=0 Ack=41 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=75112912 TSecr=3933964935 WS=256"
"33","17.589672628","8.8.8.8","192.168.1.12","DNS","138","Standard query response 0xd9bc A cdnjs.cloudflare.com A 104.17.24.14 A 104.17.25.14"
"34","17.589789210","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [ACK] Seq=41 Ack=1 Win=32128 Len=0 TSval=3933965013 TSecr=75112912"
"35","17.589814705","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [ACK] Seq=41 Ack=73 Win=32128 Len=0 TSval=3933965013 TSecr=75112915"
"36","17.589923935","192.168.1.12","8.8.8.8","DNS","101","Standard query 0x068e A httpforever.com"
"37","17.590316845","192.168.1.12","8.8.8.8","DNS","101","Standard query 0x2a2e AAAA httpforever.com"
"38","17.590630150","192.168.1.12","104.17.24.14","TCP","74","55808  >  443 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=845082545 TSecr=0 WS=128"
"40","17.640377866","104.17.24.14","192.168.1.12","TCP","74","443  >  55808 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1400 SACK_PERM TSval=4118661301 TSecr=845082545 WS=8192"
"41","17.640420610","192.168.1.12","104.17.24.14","TCP","66","55808  >  443 [ACK] Seq=1 Ack=1 Win=32128 Len=0 TSval=845082595 TSecr=4118661301"
"42","17.641487979","192.168.1.12","104.17.24.14","TLSv1.3","1229","Client Hello (SNI=cdnjs.cloudflare.com)"
"43","17.641651686","192.168.1.12","104.17.24.14","TLSv1.3","72","Change Cipher Spec"
"44","17.641672971","192.168.1.12","104.17.24.14","TLSv1.3","158","Application Data"
"45","17.660548792","8.8.8.8","192.168.1.12","TCP","66","53  >  39958 [ACK] Seq=73 Ack=76 Win=268800 Len=0 TSval=75112974 TSecr=3933965013"
"46","17.660549060","8.8.8.8","192.168.1.12","TCP","66","53  >  39958 [ACK] Seq=73 Ack=111 Win=268800 Len=0 TSval=75112975 TSecr=3933965014"
"47","17.660549113","8.8.8.8","192.168.1.12","DNS","117","Standard query response 0x068e A httpforever.com A 146.190.62.39"
"48","17.660549166","8.8.8.8","192.168.1.12","DNS","129","Standard query response 0x2a2e AAAA httpforever.com AAAA 2604:a880:4:1d0::1f1:2000"
"49","17.660953824","192.168.1.12","8.8.8.8","TCP","66","39958  >  53 [ACK] Seq=111 Ack=187 Win=32128 Len=0 TSval=3933965084 TSecr=75112979"
"50","17.662345256","192.168.1.12","146.190.62.39","TCP","74","57888  >  80 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=90926387 TSecr=0 WS=128"
"51","17.662395356","192.168.1.12","146.190.62.39","TCP","74","57902  >  80 [SYN] Seq=0 Win=32120 Len=0 MSS=1460 SACK_PERM TSval=90926387 TSecr=0 WS=128"
"53","17.701148866","104.17.24.14","192.168.1.12","TCP","66","443  >  55808 [ACK] Seq=1 Ack=1164 Win=73728 Len=0 TSval=4118661355 TSecr=845082596"
"54","17.701149055","104.17.24.14","192.168.1.12","TCP","66","443  >  55808 [ACK] Seq=1 Ack=1170 Win=73728 Len=0 TSval=4118661355 TSecr=845082596"
"55","17.701149097","104.17.24.14","192.168.1.12","TCP","66","443  >  55808 [ACK] Seq=1 Ack=1262 Win=73728 Len=0 TSval=4118661355 TSecr=845082596"
"56","17.701149130","104.17.24.14","192.168.1.12","TLSv1.3","823","Server Hello, Change Cipher Spec, Application Data, Application Data"
"57","17.701149163","104.17.24.14","192.168.1.12","TLSv1.3","137","Application Data"
"58","17.701216177","192.168.1.12","104.17.24.14","TCP","66","55808  >  443 [ACK] Seq=1262 Ack=758 Win=31872 Len=0 TSval=845082656 TSecr=4118661356"
"59","17.701262195","192.168.1.12","104.17.24.14","TCP","66","55808  >  443 [ACK] Seq=1262 Ack=829 Win=31872 Len=0 TSval=845082656 TSecr=4118661356"
"60","17.702275118","192.168.1.12","104.17.24.14","TLSv1.3","150","Application Data, Application Data"
"61","17.702716192","192.168.1.12","104.17.24.14","TLSv1.3","97","Application Data"
"62","17.795613266","104.17.24.14","192.168.1.12","TCP","66","443  >  55808 [ACK] Seq=829 Ack=1377 Win=73728 Len=0 TSval=4118661413 TSecr=845082657"
"63","17.896731052","146.190.62.39","192.168.1.12","TCP","74","80  >  57902 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1412 SACK_PERM TSval=3401210582 TSecr=90926387 WS=128"
